Manufacturer,Parts URL
Dell,https://www.dell.com/en-us/shop/partsforyourdell
HP,https://partsurfer.hp.com/
Lenovo,https://support.lenovo.com/us/en/parts-lookup
ASUS,https://partshop.asus.com/us/
Acer,https://www.sourceitstore.com/acer-part-finder/
Toshiba,https://www.dynabook.parts/about_us
Samsung,https://samsungparts.com/
Sony,https://sony.encompass.com/
Apple,https://selfservicerepair.com/en-US/order
Microsoft,https://www.microsoft.com/en-us/store/collections/surface-laptops-repair-parts
COMPAQ,https://parts.hp.com/hpparts/Default.aspx?mscssid=&cc=US&lang=EN&jumpid=
Xiaomi,https://www.mi.com/in/service/sparepartsprice/
LG,https://lgparts.com/
Huawei,https://consumer.huawei.com/ph/support/sparepart-price/
Framework,https://frame.work/marketplace/parts
Getac,https://store.getac.us/
,
Honorable mentions,Parts URL
Encompass,https://encompass.com/parts-accessories/Computer-Tablet
LaptopScreen,www.laptopscreen.com
LaptopKey,www.laptopkey.com
IFIXIT,https://www.ifixit.com/Parts
